url,title,des,site,time
http://sports.sohu.com/20170109/n478176651.shtml,贺岁杯-新银河世纪如愿夺冠 唯品会力拼得季军,"搜狐体育  2017年01月09日 13:44经过4天前半决赛的激烈角逐之后,新银河世纪队与天河分局队会师决赛,而广东体育频道与唯品会则进行三四名的对决。 决赛日首场赛事在体育频道和唯品会之间开展,由于...  4条相同新闻  -  百度快照",搜狐体育,2017年01月09日
http://finance.cjn.cn/cfxm/201701/t2944769.htm,唯品会“WOW!精选”特卖 Folli Follie惊喜一口价,"长江网  2017年01月09日 15:00据了解,作为一家始终贯彻给消费者带来“傲娇品牌+呆萌价格”惊喜战略的时尚特卖电商,唯品会继连续推出“超级品牌日特卖、VIP大牌日、大牌限量美妆盒特卖”等一系列...  2条相同新闻  -  百度快照",长江网,2017年01月09日
http://www.guangyuanol.cn/news/newssogou/2017/0109/701838.html,唯品会她图TATU女装专场 新年钜惠抢先看,"川北在线  2017年01月09日 13:00原标题:唯品会她图TATU女装专场 新年钜惠抢先看 1月9日,唯品会她图TATU女装专场正在火热进行中,全场0.9折起,购物满298减50,上不封顶。 2006年,她图(TATU)品牌...  2条相同新闻  -  百度快照",川北在线,2017年01月09日
http://www.citure.net/info/201719/201719131952.shtml,唯品会“WOW!精选”PARATEX乳胶枕 给脖子做个SPA,"中国城市网  2017年01月09日 13:581月9日,唯品会“WOW!精选”x PARATEX专场,推荐品牌,100%泰国原装进口乳胶按摩枕,给您的脖子个SPA吧!  2条相同新闻  -  百度快照",中国城市网,2017年01月09日
http://www.yuncaijing.com/news/id_7836674.html,广告:想要过个好年?来唯品会就购了,"云财经  2017年01月09日 11:01若是今年想要过个好年,来唯品会就购了。 那就来唯品金融年货节,从老人到小孩,从零食到美酒,应有尽有。 过年纳福利。 本文由云财经智能压缩,查看原文请 点击...  百度快照",云财经,2017年01月09日
http://news.china.com/finance/11155042/20170109/30154824.html,唯品国际携澳洲拉芙迪等两知名品牌达成战略合作,"中华网  2017年01月09日 13:36近日,唯品会“唯品国际”与澳洲知名婴儿辅食品牌拉芙迪Rafferty's Garden及知名洗涤剂品牌Morning Fresh达成了战略合作,并分别于1月9日及1月13日上线“澳洲婴儿天然...  11条相同新闻  -  百度快照",中华网,2017年01月09日
http://news.163.com/17/0106/22/CA4MNQGR00018AOP.html,春节“让爱先回家” 唯品会精选年货特卖迎抢购热潮,"网易新闻  2017年01月06日 22:09此次“让爱先回家”年货特卖活动,唯品会再次为广大会员带来“场景化”逛街惊喜,特设“穿新衣”、“大扫除”、“看春晚”“年夜饭”、“守岁”、“同学聚会”、...  23条相同新闻  -  百度快照",网易新闻,2017年01月06日
http://edu.china.com/mts/13000091/20170109/30155959.html,荣耀进驻双“亿元”俱乐部 自然堂电商渠道2016双喜收官,"中华网  2017年01月09日 15:11这一年,自然堂不仅依然是天猫平台的“亿元”大将,更是骄傲的首次加入唯品会的“亿元”俱乐部。这一切的傲人殊荣,自然堂与你我共享。  自然堂首次加入唯品会的“亿元...  5条相同新闻  -  百度快照",中华网,2017年01月09日
http://www.mpaypass.com.cn/news/201701/09084648.html,【这一周】21人刷空单获刑 宇宙行二维码支付可以绑17家他行卡,"移动支付网  2017年01月09日 08:00继去年9月完成对浙江贝付科技有限公司的全资收购获得支付牌照后,近日唯品会已完成对浙江贝付的工商变更,后者正式更名为“浙江唯品会支付服务有限公司”(简称“浙江唯...  百度快照",移动支付网,2017年01月09日
http://www.ebrun.com/20170106/209697.shtml,迎大数据时代 法国版唯品会投5.8亿搞研发研,"亿邦动力网  2017年01月06日 10:55【亿邦动力网讯】1月6日消息,奢侈品闪购鼻祖、法国时尚电商Vente-Privée集团最近宣布,2017年其将在研发领域投入8000万欧元(约合人民币5.789亿元),并招募250名...  2条相同新闻  -  百度快照",亿邦动力网,2017年01月06日
http://zgsc.china.com.cn/zxun/zhzx/2017-01-06/571135.html,唯品会viishow男装专场 年货盛宴为您备足年货,"中国视窗  2017年01月06日 21:50年终已到,年货准备好了吗?1月6日,唯品会viishow男装专场,年货盛宴为您备足年货,全场低至0.7折,手快者有,手慢者无! VIISHOW创立于1991年的快时尚男装品牌,...  百度快照",中国视窗,2017年01月06日
http://edu.sxgov.cn/content/2017-01/06/content_7765497.htm,唯品会viishow男装专场 年货盛宴为您备足年货,"黄河新闻网  2017年01月06日 18:061月6日,唯品会viishow男装专场,年货盛宴为您备足年货,全场低至0.7折,手快者有,手慢者无!     VIISHOW创立于1991年的快时尚男装品牌,忠诚信奉欧洲...  百度快照",黄河新闻网,2017年01月06日
http://www.zjjzx.cn/news/szxw/70937.html,唯品会意尔康男鞋专场 把年货与心意一起带回家,"张家界在线  2017年01月06日 17:561月6日,唯品会意尔康Yearcon男鞋专场,让你把年货与心意一起带回家,全场1.4折起,购满2件8.5折,3件8折,购物满688元送2017年精美手账。 意尔康是一家主营皮鞋...  2条相同新闻  -  百度快照",张家界在线,2017年01月06日
http://www.senn.com.cn/sx/2017/01/06/175476.html,唯品会DOLIVA女装专场 冬季女装盛“惠”,"南方企业新闻网  2017年01月06日 15:32唯品会DOLIVA女装专场1月6日正在火热进行中,全场1.1折起,冬季女装盛会,购满2件8.5折,3件8折。  2条相同新闻  -  百度快照",南方企业新闻网,2017年01月06日
http://news.jxntv.cn/city/html/201701/124394.html,唯品会爱步ECCO男女鞋专场 暖心回馈舒适履程,"江西网络广播电视台  2017年01月06日 09:071月6日,唯品会爱步ECCO男女鞋专场,暖心回馈舒适履程,全场1.7折起。 ECCO(中文名称:爱步),成立于1963年,是来自丹麦的鞋履品牌。爱步ECCO男士休闲系列鞋子外部...  2条相同新闻  -  百度快照",江西网络广播电视台,2017年01月06日
http://news.21cn.com/caiji/roll1/a/2017/0105/04/31846900.shtml,唯品会完成对浙江贝付更名,"21CN  2017年01月05日 04:58(记者倪明)记者获悉,近日唯品会已完成对浙江贝付的工商变更,后者正式更名为“浙江唯品会支付服务有限公司”。唯品会互联网金融事业部总经理朱敬表示,更名的完成将有...  6条相同新闻  -  百度快照",21CN,2017年01月05日
http://www.dzwww.com/xinwen/shehuixinwen/201701/t20170105_15382776.htm,唯品会完成对浙江贝付更名,"大众网  2017年01月05日 05:00记者获悉,近日唯品会已完成对浙江贝付的工商变更,后者正式更名为“浙江唯品会支付服务有限公司”。唯品会互联网金融事业部总经理朱敬表示,更名的完成将有利于唯品会...  百度快照",大众网,2017年01月05日
http://www.hinews.cn/news/system/2017/01/05/030917159.shtml,唯品会完成对浙江贝付更名,"南海网  2017年01月05日 04:37记者获悉,近日唯品会已完成对浙江贝付的工商变更,后者正式更名为“浙江唯品会支付服务有限公司”。唯品会互联网金融事业部总经理朱敬表示,更名的完成将有利于唯品会...  百度快照",南海网,2017年01月05日
http://daogou.qinbei.com/20170105/1830840.shtml,唯品会购雀巢奶粉 婴儿喝后口鼻喷血,"亲贝网  2017年01月05日 10:00双十一时,郑州的侯女士在唯品会上,以39元的价钱买到了原价206元的雀巢二段盒装奶粉。 本以为捡个大便宜,可刚过了几天就悲催了,侯女士刚一岁的女儿喝完奶粉,...  百度快照",亲贝网,2017年01月05日
http://jb.sznews.com/html/2017-01/05/content_3702346.htm,唯品会获“2016年度中国公益企业”奖,"晶报  2017年01月05日 05:11唯品会获“2016年度中国公益企业”奖严珊珊晶报讯(记者 严珊珊)日前,“2016中国公益年会”在国家会议中心举行,表彰了2016年度影响中国公益的百名人物和百家企业等。...  百度快照",晶报,2017年01月05日
http://news.163.com/17/0104/16/C9UT2HUO00014SEH.html,来自滴滴、微博、唯品会、魅族、点评关于高可用架构的实践分享,"网易新闻  2017年01月04日 16:22(原标题:来自滴滴、微博、唯品会、魅族、点评关于高可用架构的实践分享) 架构师小组交流会是由国内知名公司技术专家参与的技术交流会,每期选择一个时下最热门的技术...  8条相同新闻  -  百度快照",网易新闻,2017年01月04日
http://lichengdong.baijia.baidu.com/article/743492,"继阿里京东后,唯品会欲打造高品质消费金融品牌","百度百家  2017年01月04日 11:00唯品金融的机会,在于秉承唯品会“传承品质生活,提升幸福体验”理念,同时,把握中国最看重品质和品牌的这部分消费人群,打造一个高品质的消费金融品牌。...  2条相同新闻  -  百度快照",百度百家,2017年01月04日
http://www.ah.chinanews.com/news/2017/0106/46509.shtml,唯品母婴12•28年终狂欢订单过百万,"中国新闻网安徽站  2017年01月06日 16:00从唯品会大数据来看,来自广东、江苏、四川、山东、湖北几大省份的会员购买量,合力占据了订单量的TOP 5榜单。唯品会忠实会员可谓遍布了国内各地,也展示了唯品会特卖...  11条相同新闻  -  百度快照",中国新闻网安徽站,2017年01月06日
http://finance.ce.cn/rolling/201701/04/t20170104_19388945.shtml,"投融界专访唐志宇:打折风向标,超越唯品会不是没可能","中国经济网  2017年01月04日 16:00原标题: 投融界专访唐志宇:打折风向标,超越唯品会也不是没可能! 四十不惑,他说再不折腾就晚了! 离开呆了近20年的国企,走上创业“不归路”,唐志宇鼓足了勇气...  3条相同新闻  -  百度快照",中国经济网,2017年01月04日
"http://stock.eastmoney.com/news/1437,20170104699707092.html",唯品会收购 第三方支付牌照落槌,"东方财富网  2017年01月04日 14:001月3日,互联网金融领域再次杀入一匹黑马,唯品会当天宣布已完成对浙江贝付的工商变更,后者正式更名为“浙江唯品会支付服务有限公司”。唯品会相关负责人表示,第三方...  3条相同新闻  -  百度快照",东方财富网,2017年01月04日
"http://stock.eastmoney.com/news/1437,20170104699633171.html",唯品会收购 第三方支付牌照落槌,"东方财富网  2017年01月04日 10:00讯1月3日,互联网金融领域再次杀入一匹黑马,唯品会当天宣布已完成对浙江贝付的工商变更,后者正式更名为“浙江唯品会支付服务有限公司”。唯品会相关负责人表示,第...  2条相同新闻  -  百度快照",东方财富网,2017年01月04日
http://cnews.chinadaily.com.cn/2017-01/04/content_27862866.htm,唯品会完成对浙江贝付更名 获牌后加速搭建闭环生态圈,"中国日报  2017年01月04日 19:32浙江唯品会支付服务有限公司(原浙江贝付科技有限公司)成立于2011年6月,于2012年6月获得中国人民银行颁发的支付业务许可证。利用用户基础和大数据积累,唯品金融逐步...  4条相同新闻  -  百度快照",中国日报,2017年01月04日
http://e.chinacqsb.com/html/2017-01/04/content_562335.htm,唯品会收购 第三方支付牌照落槌 - 重庆商报数字报,"重庆商报  2017年01月04日 07:06重庆商报讯 1月3日,互联网金融领域再次杀入一匹黑马,唯品会当天宣布已完成对浙江贝付的工商变更,后者正式更名为“浙江唯品会支付服务有限公司”。 唯品会相关负责人...  百度快照",重庆商报,2017年01月04日
http://stock.cngold.com.cn/qqsc/20170104d11055n113272287.html,"[全球市场]继阿里京东后布局互金,唯品会欲打造高品质消费金融品牌","中金股票  2017年01月04日 23:002017年1月3日,全球最大特卖电商唯品会宣布完成对浙江贝付的全资收购和更名,如愿拿到支付牌照,完善了互金布局的支付版块。与阿里,京东相比,唯品会拥有中国最看重...  百度快照",中金股票,2017年01月04日
http://yufenghui.baijia.baidu.com/article/744541,互金野蛮时代终结 谁能踢好下半场,"百度百家  2017年01月05日 17:00目前,唯品金融已经通过提供供应链金融、消费金融、理财、互联网保险等金融服务,为唯品会商户和用户打造一站式金融服务平台。从2013年元年算起,中国互联网金融经过将...  百度快照",百度百家,2017年01月05日
http://business.sohu.com/20170103/n477677842.shtml,唯品会成立自有支付品牌 加速金融布局,"搜狐财经  2017年01月03日 20:25北京商报讯(记者吴文治陈克远)构建集团业务的闭环生态已经成为电商企业的发展共识,如今唯品会延展金融服务的计划也正式提上日程。1月3日,唯品会对外宣布已完成对浙江  9条相同新闻  -  百度快照",搜狐财经,2017年01月03日
http://tech.ifeng.com/a/20170103/44525566_0.shtml,唯品会收购第三方支付牌照正式落槌 浙江贝付完成更名,"凤凰科技  2017年01月03日 14:00凤凰科技讯(作者/白杨)今天上午,唯品会对外宣布,已完成对浙江贝付科技有限公司的全资收购,后者正式更名为“浙江唯品会支付服务有限公司”(以下简称“浙江唯品会支付...  14条相同新闻  -  百度快照",凤凰科技,2017年01月03日
http://news.163.com/16/1231/01/C9J0U3NB000187VI.html,艾瑞咨询:唯品会发展强劲 抢滩布局电商“新四化”,"网易新闻  2016年12月31日 01:54(原标题:艾瑞咨询:唯品会发展强劲 抢滩布局电商“新四化”) 电子商务的发展改变了人们的购物方式,移动购物方式的发展使得人们可以随时随地购买琳琅满目的商品,足不出...  5条相同新闻  -  百度快照",网易新闻,2016年12月31日
http://news.ifeng.com/a/20170103/50516500_0.shtml,唯品会完成对浙江贝付更名 获牌后加速搭建闭环生态圈,"凤凰网  2017年01月03日 18:002017年1月3日,记者获悉,继去年9月完成对浙江贝付科技有限公司的全资收购获得支付牌照后,近日唯品会已完成对浙江贝付的工商变更,后者正式更名为“浙江唯品会支付...  6条相同新闻  -  百度快照",凤凰网,2017年01月03日
